league,home_win_rate,away_win_rate,draw_rate,avg_goal_diff,avg_yc_diff,avg_rc_diff,home_field_mean,home_field_low,home_field_high
German Bundesliga,0.4461038961038961,0.31103896103896106,0.24285714285714285,0.33181818181818185,-0.28888888888888886,-0.02091503267973856,-0.3913437585560504,-0.8250160484646978,-0.13762459913561703
German 2. Bundesliga,0.42129032258064514,0.2845161290322581,0.29419354838709677,0.2645161290322581,-0.3156862745098039,-0.022222222222222223,-4.1465831956080725,-19.155737089520446,-0.34860606498917845
Danish Superliga,0.4468802698145025,0.30522765598650925,0.2478920741989882,0.327150084317032,-0.2299145299145299,-0.03162393162393162,-0.4975560013235933,-1.242809802959457,-0.10967536737762411
Austrian Bundesliga,0.4376344086021505,0.33763440860215055,0.22473118279569892,0.1978494623655914,-0.27741935483870966,-0.02903225806451613,-1.937256107150507,-14.326666666644845,-0.20925463641458025
Portuguese Liga,0.4549019607843137,0.3111111111111111,0.23398692810457516,0.3359477124183007,-0.37058823529411766,-0.03071895424836601,-6.694314737343963,-21.36220034955296,-0.6814658907168041
English Premier League,0.45789473684210524,0.3036842105263158,0.23842105263157895,0.33789473684210525,-0.1831578947368421,-0.01368421052631579,-0.21449080973732965,-0.4592727990594964,-0.07814393282794828
English League Championship,0.43323761665470206,0.2914572864321608,0.2753050969131371,0.2932519741564968,-0.3566810344827586,-0.03089080459770115,-0.3311907923469027,-0.6405156939924733,-0.17966164011120958
Greek Super League,0.46260162601626015,0.26666666666666666,0.2707317073170732,0.4479674796747967,-0.5481239804241436,-0.0734094616639478,-4.356547020944587,-19.356229495312537,-0.4690487471897937
Spanish La Liga,0.46578947368421053,0.2805263157894737,0.2536842105263158,0.39789473684210525,-0.24157894736842106,-0.02526315789473684,-0.4760770712871178,-0.911839092245164,-0.19515201328560475
Spanish La Liga 2,0.4534292972057578,0.23878069432684165,0.3077900084674005,0.378069432684166,-0.4206896551724138,-0.05387931034482758,-0.28339105177426877,-0.5171425498616113,-0.1394914289398894
Turkish Super Lig,0.46143790849673205,0.2869281045751634,0.25163398692810457,0.3764705882352941,-0.16711229946524064,-0.02406417112299465,-3.3792070163578045,-17.99325826190201,-0.2274360232777833
Swedish Allsvenskan,0.4241379310344828,0.3112068965517241,0.2646551724137931,0.29482758620689653,-0.14335060449050085,0.006044905008635579,-0.17151617279362283,-0.4334589416863615,-0.029877426925968547
Swiss Super League,0.430939226519337,0.3281767955801105,0.2408839779005525,0.29171270718232045,-0.38290788013318533,-0.03107658157602664,-6.894785974979987,-21.628540906450354,-0.5278676947765002
Italy Serie A,0.4457894736842105,0.31684210526315787,0.2373684210526316,0.29157894736842105,-0.30105263157894735,-0.045789473684210526,-1.5262423467120623,-12.147549514061428,-0.26634981200206953
Russian Premier Liga,0.41721854304635764,0.30629139072847683,0.2764900662251656,0.2897350993377483,-0.3804347826086957,-0.047658862876254184,-0.4311511952837289,-1.0193136490923693,-0.14874811129930873
Norwegian Eliteserien,0.46965699208443273,0.27088830255057167,0.2594547053649956,0.4890061565523307,-0.27929515418502204,-0.015859030837004406,-0.5463617998081705,-1.2103763685236835,-0.16807536483244295
Italy Serie B,0.4427445526193788,0.24153917477978673,0.3157162726008345,0.37783959202596196,-0.3160092807424594,-0.058932714617169375,-0.30566665738976556,-0.5604805615086659,-0.12258334084596492
